編號,語言,詞語,轉寫1,轉寫2,翻譯,
PAN30603,原始南島語,*kaen,,,吃,http://acd.clld.org/cognatesets/30603
PAN31635,原始南島語,*kaija,,,何時(過去),https://acd.clld.org/cognatesets/31635
PAN31601,原始南島語,*kaka,,,兄姊,https://acd.clld.org/cognatesets/31601
PAN30494,原始南島語,*kaRaC,,,咬,https://acd.clld.org/cognatesets/30494
PAN31624,原始南島語,*kawayan,,,刺竹,https://acd.clld.org/cognatesets/31624
PAN30247,原始南島語,*keRet,,,切；割,https://acd.clld.org/cognatesets/30247
PAN30925,原始南島語,*kilala,,,認識；知察,https://acd.clld.org/cognatesets/30925
PAN26798,原始南島語,*kuaw,,,某種鳥類,https://acd.clld.org/cognatesets/26798
PAN30459,原始南島語,*kuCux,,,頭蝨,https://acd.clld.org/cognatesets/30459
PAN30656,原始南島語,*labaw,,,鼠類,https://acd.clld.org/cognatesets/30656
PAN30206,原始南島語,*lahud,,,順流,https://acd.clld.org/cognatesets/30206
PAN30661,原始南島語,*lawaq,,,蜘蛛(網),https://acd.clld.org/cognatesets/30661
PAN29910,原始南島語,*lawaR,,,飛鼠,https://acd.clld.org/cognatesets/29910
PAN30316,原始南島語,*likaC,,,閃電,https://acd.clld.org/cognatesets/30316
PAN30365,原始南島語,*lima,,,五,https://acd.clld.org/cognatesets/30365
PAN27005,原始南島語,*linuR,,,地震,https://acd.clld.org/cognatesets/27005
PAN27016,原始南島語,*liŋaw,,,影子,https://acd.clld.org/cognatesets/27016
PAN30357,原始南島語,*liqeR,,,脖子,https://acd.clld.org/cognatesets/30357
PAN27060,原始南島語,*luem,,,熟成,https://acd.clld.org/cognatesets/27060
PAN29912,原始南島語,*lukeNaw,,,雲豹,https://acd.clld.org/cognatesets/29912
PAN30472,原始南島語,*luSeq,,,眼淚,https://acd.clld.org/cognatesets/30472
PAN29913,原始南島語,*lutuk,,,臺灣野兔,https://acd.clld.org/cognatesets/29913
PAN30830,原始南島語,*maCa,,,眼睛；焦點,https://acd.clld.org/cognatesets/30830
PAN30128,原始南島語,*-matek,,,山蛭,https://acd.clld.org/cognatesets/30128
PAN27170,原始南島語,*Nabek,,,碎浪,https://acd.clld.org/cognatesets/27170
PAN30319,原始南島語,*NaCeŋ,,,蔬菜,https://acd.clld.org/cognatesets/30319
PAN30290,原始南島語,*naNaq,,,膿,https://acd.clld.org/cognatesets/30290
PAN30739,原始南島語,*Naŋuy,,,游泳,https://acd.clld.org/cognatesets/30739
PAN30320,原始南島語,*NataD,,,外面,https://acd.clld.org/cognatesets/30320
PAN30340,原始南島語,*nema,,,什麼,https://acd.clld.org/cognatesets/30340
PAN30248,原始南島語,*Nihib,,,岩洞,https://acd.clld.org/cognatesets/30248
PAN27068,原始南島語,*Nusuŋ,,,搗米臼,https://acd.clld.org/cognatesets/27068
PAN30393,原始南島語,*ŋajan,,,名字,https://acd.clld.org/cognatesets/30393
PAN32603,原始南島語,*ŋajay,,,唾液,https://acd.clld.org/cognatesets/32603
PAN30419,原始南島語,*ŋusuq,,,口鼻,https://acd.clld.org/cognatesets/30419
PAN30815,原始南島語,*paen,,,餌,https://acd.clld.org/cognatesets/30815
PAN30474,原始南島語,*pajay,,,稻,https://acd.clld.org/cognatesets/30474
PAN27271,原始南島語,*paliSi,,,禁忌,https://acd.clld.org/cognatesets/27271
PAN27272,原始南島語,*panaq,,,射擊,https://acd.clld.org/cognatesets/29847
PAN30995,原始南島語,*paNid,,,翅膀,https://acd.clld.org/cognatesets/30995
PAN27380,原始南島語,*paŋudaN,,,露兜樹,https://acd.clld.org/cognatesets/27380
PAN32879,原始南島語,*paqeju,,,膽囊,https://acd.clld.org/cognatesets/32879
PAN30605,原始南島語,*pijax,,,多少,https://acd.clld.org/cognatesets/30605
PAN30630,原始南島語,*piliq,,,挑選,https://acd.clld.org/cognatesets/30630
PAN30723,原始南島語,*pitu,,,七,https://acd.clld.org/cognatesets/30723
PAN29948,原始南島語,*pujek,,,肚臍；臍帶,https://acd.clld.org/cognatesets/29948
PAN30154,原始南島語,*puluq,,,十,https://acd.clld.org/cognatesets/30154
