編號,語別,詞語,語源,義項,詞類,等級,翻譯,分類,近義詞,反義詞,相關詞,附註
701422,23,izuwa,,3231034,,B,有,34其他,,,,
701427,23,kacakac,,3230541,,U,褲子,18織布服飾,,,,
701451,23,kadikad,,3230349,,S,鍋鏟,09物品(不含食品),,,,
701454,23,kadjamadjaman,,3230473,,S,上午,13時間,,,,
701455,23,kadjaman,,3230459,,B,早上,13時間,,,,
701459,23,kadradrungulj,,3230213,,S,蝴蝶,07動物(含昆蟲),,,,
701462,23,kadrangu,,3230379,,B,簍子,09物品(不含食品),,,,
701462,23,kadrangu,,3230567,,I,女用揹籃,19傳統文化與習俗,,,,
701482,23,kaka a tjaljaljak,,3230101,,B,(弟弟；妹妹)通稱,04親屬稱謂,,,,
701484,23,kaka tjaljaljak a uqaljay,,3230102,,B,弟弟,04親屬稱謂,,,,
701485,23,kaka tjaljaljak a vavayan,,3230103,,B,妹妹,04親屬稱謂,,,,
701486,23,kaka tjavulung,,3230097,,U,兄長,04親屬稱謂,,,,
701487,23,kaka tjavulung a uqaljay,,3230100,,B,哥哥,04親屬稱謂,,,,
701488,23,kaka tjavulung a vavayan,,3230099,,B,姊姊,04親屬稱謂,,,,
701494,23,kakakaka,,3230421,,I,影子,11自然景觀,,,,
701496,23,kakanen,,3230800,,B,吃(東西),27飲食,,,,
701503,23,kakedryan,,3230110,,B,孩童,05人物、身分,,,,
701532,23,kakudan,702370,3230621,,S,文化,24抽象名詞,,,,
701550,23,kalapkapan,,3230181,,S,腳掌,06身體部位,,,,
701551,23,kalavis,,3230321,,I,鉤子,09物品(不含食品),,,,
701555,23,kalevelevan,,3230405,,B,天空,11自然景觀,,,,
701559,23,kaliljaw,,3230551,,U,布匹,18織布服飾,,,,
701569,23,kaljadjadjeljeman,,3230409,,B,冬天,11自然景觀,,,,
701574,23,kaljaljaljeqelan,,3230409,,B,冬天,11自然景觀,,,,
701584,23,kaljauragan,,3230428,,B,秋天,11自然景觀,,,,
701585,23,kaljauraman,,3230409,,B,冬天,11自然景觀,,,,
701589,23,kaljavevuan,,3230426,,B,春天,11自然景觀,,,,
701593,23,kaljazalangezangan,,3230410,,B,夏天,11自然景觀,,,,
701603,23,kaljusekusan,PAN30315,3230137,,B,指甲,06身體部位,,,,
701606,23,kama,,3230080,,B,爸爸,04親屬稱謂,,,,
701606,23,kama,,3230104,,B,(伯父；叔叔；舅舅)通稱,04親屬稱謂,,,,
701606,23,kama,,3230343,,U,飯鍋,09物品(不含食品),,,,
701609,23,kamakama,,3230222,,U,雄性(動物),07動物(含昆蟲),,,,
701611,23,kamakudakuda,,3230078,,B,何時(已發生),03疑問詞,,,,
701613,23,kamangulj,,3230305,,I,辣椒(通稱),08植物,,,,
701614,23,kamaqacuvucuvung,,3230476,,S,年輕時,13時間,,,,
701622,23,kamuraw,,3230303,,S,柚子,08植物,,,,
701626,23,kanavalj,,3230494,,I,右邊(右手),14空間,,,,
701629,23,kangkang,,3230506,,U,犁,15農耕,,,,
701636,23,kanupitj,,3230534,,U,法器盒(巫醫治病等用),17宗教,,,,
701641,23,kapaz,,3230279,,S,樹根,08植物,,,,
701649,23,karakuda,,3230844,,B,工作,30生活作息,,,,
701660,23,kasani,,3230458,,B,今天,13時間,,,,
701661,23,kasasavan,,3230448,,I,庭院,12建築,,,,
701662,23,kasauni,,3231083,,I,剛才,36助詞或其他,,,,
701663,23,kasauniuni,,3231068,,S,剛剛,36助詞或其他,,,,
701671,23,kasikasepatj,,3230468,,S,大前天,13時間,,,,
701673,23,kasikasiw,,3230388,,I,森林,10山川地理,,,,
701674,23,kasikatjelu,,3230461,,U,前天,13時間,,,,
701676,23,kasimazanga,,3230675,,B,來過,25行動,,,,
701682,23,kasiw,PAN30531,3230254,,U,樹,08植物,,,,
701691,23,kasusu,,3230085,,S,親戚,04親屬稱謂,,,,
701692,23,kasuy,,3230549,,U,女性長褲,18織布服飾,,,,
701699,23,katiaw,,3230456,,B,昨天,13時間,,,,
701709,23,katjutjung,,3230334,,U,竹筒,09物品(不含食品),,,,
701711,23,katuwa,,3231075,,B,和,36助詞或其他,,,,
701719,23,kava,PAN31605,3230536,,B,衣服,18織布服飾,,,,
701719,23,kava,PAN31605,3230563,,S,上衣,18織布服飾,,,,
701734,23,kaviri,,3230495,,U,左邊,14空間,,,,
701737,23,kaviz,,3230151,,I,下巴,06身體部位,,,,
701748,23,kay,PAN31640,3230618,,I,語言,24抽象名詞,,,,
701749,23,kaya,,3230443,,S,廁所,12建築,,,,
701751,23,kayv,,3230803,,B,吃晚餐,27飲食,,,,
701764,23,kedremel,,3230945,,I,厚,32特徵,,,,
701765,23,kedri,PAN26698,3230940,,B,少,32特徵,,,,
701765,23,kedri,PAN26698,3230044,,S,一點點,01數字計量,,,,
701765,23,kedri,PAN26698,3231069,,U,少許,36助詞或其他,,,,
701766,23,kedrikedri,,3230932,,B,矮(身高),32特徵,,,,
701766,23,kedrikedri,,3230935,,B,小的,32特徵,,,,
701770,23,kelain,,3230685,,S,掛,26肢體動作,,,,
701783,23,kemac,,3230790,,I,咬,27飲食,,,,
701787,23,kemacu,,3230647,,I,帶,25行動,,,,
701789,23,kemadikad,,3230734,,S,攪動,26肢體動作,,,,
701791,23,kemaizua,,3230904,,I,(居)住,30生活作息,,,,
701793,23,kemali,,3230780,,I,(用手)挖掘,26肢體動作,,,,
701797,23,kemaljava,,3230865,,S,等待,30生活作息,,,,
701798,23,keman,,3230786,,B,吃,27飲食,,,,
701800,23,kemangkang,,3230502,,I,犁田,15農耕,,,,
701808,23,kemasi…,,3230500,,S,從某處,14空間,,,,
